type;isin;investmentRegion;investmentSubject;fullName;managedBy;replicationType;ticker;exchange;tickerGoogle;tickerYahoo;currency
ETF;IE0032077012;USA;Akcje - technologia;INVESCO EQQQ NASDAQ100 UCITS ETF;Invesco;Distributing;EQQQ;LON;LON:EQQQ;;GBX
ETF;IE0032077012;USA;Akcje - technologia;INVESCO EQQQ NASDAQ100 UCITS ETF;Invesco;Distributing;EQQQ;EPA;EPA:EQQQ;;EUR
ETF;LU0274210672;USA;Akcje;DB XTRACKERS MSCI USA INDEX UCITS ;Xtrackers;Accumulating;XMUS;FRA;FRA:DBXU;;
ETF;IE00B0M63177;Globalny (EM);Akcje;ISHARES MSCI EM UCITS ;iShares;Distributing;IQQE;FRA;FRA:IQQE;;EUR
ETF;IE00B0M63177;Globalny (EM);Akcje;ISHARES MSCI EM UCITS ;iShares;Distributing;IEEM;LON;LON:IEEM;;GBX
ETF;IE00B0M63177;Globalny (EM);Akcje;ISHARES MSCI EM UCITS ;iShares;Distributing;IEMM;AMS;AMS:IEMM;;EUR
ETF;IE0008471009;Europa;Akcje;ISHARES EURO STOXX 50 UCITS ;iShares;Distributing;EUN2;FRA;FRA:EUN2;;EUR
ETF;IE0008471009;Europa;Akcje;ISHARES EURO STOXX 50 UCITS;iShares;Distributing;EUEA;AMS;AMS:EUEA;;EUR
ETF;LU0392494562;Globalny (DM);Akcje;COMSTAGE MSCI WORLD UCITS ;Comstage;Distributing;CBNDDUWI;FRA;FRA:X010;;
ETF;IE00B4L5YX21;Japonia;Akcje;ISHARES CORE MSCI JAPAN IMI UCITS ;iShares;Accumulating;SJPA;LON;LON:SJPA;;GBX
ETF;IE00B4L5YX21;Japonia;Akcje;ISHARES CORE MSCI JAPAN IMI UCITS;iShares;Accumulating;IJPA;AMS;AMS:IJPA;;EUR
ETF;IE00B53L3W79;Europa;Akcje;ISHARES CORE EURO STOXX 50 UCITS ETF EUR ;iShares;Accumulating;SXRT;FRA;FRA:SXRT;;EUR
ETF;IE00B8GKDB10;Globalny;Akcje - dywidendy;VANGUARD FTSE ALLWORLD HIGH DIVIDEND YIELD UCITS;Vanguard;Distributing;VHYL;LON;LON:VHYL;;GBP
ETF;IE00B8GKDB10;Globalny;Akcje - dywidendy;VANGUARD FTSE ALLWORLD HIGH DIVIDEND YIELD UCITS ;Vanguard;Distributing;VGWD;FRA;FRA:VGWD;;EUR
ETF;IE00B8GKDB10;Globalny;Akcje - dywidendy;VANGUARD FTSE ALLWORLD HIGH DIVIDEND YIELD UCITS;Vanguard;Distributing;VHYL;AMS;AMS:VHYL;;EUR
ETF;LU0274209237;Europa;Akcje;DB XTRACKERS EUROPE INDEX UCITS ;Xtrackers;Accumulating;XMED;LON;LON:XMED;;USD
ETF;LU0274209237;Europa;Akcje;DB XTRACKERS EUROPE INDEX UCITS ;Xtrackers;Accumulating;XMEU;FRA;FRA:DBXA;;
ETF;IE00B8FHGS14;Globalny (DM);Akcje - factor;ISHARES EDGE MSCI WORLD MINIMUM VOLATILITY UCITS ;iShares;Accumulating;MVOL;LON;LON:MVOL;;USD
ETF;IE00B8FHGS14;Globalny (DM);Akcje - factor;ISHARES EDGE MSCI WORLD MINIMUM VOLATILITY UCITS ;iShares;Accumulating;IQQ0;FRA;FRA:IQQ0;;EUR
ETF;FR0007052782;Francja;Akcje;LYXOR CAC 40 (DR) UCITS ETF ;Lyxor;Distributing;CAC;EPA;EPA:CAC;;EUR
ETF;IE00BLNMYC90;USA;Akcje - factor;XTRACKERS S&P 500 EQUAL WEIGHT UCITS ;Xtrackers;Accumulating;XDEW;FRA;FRA:XDEW;;EUR
ETF;IE00B60SX394;Globalny (DM);Akcje;SOURCE MSCI WORLD UCITS ;Invesco;Accumulating;SMSWLD;FRA;FRA:SC0J;;
ETF;IE00B60SX170;USA;Akcje;INVESCO MSCI USA UCITS ETF ACC;Invesco;Accumulating;SC0H;FRA;FRA:SC0H;;
ETF;LU0380865021;Europa;Akcje;DB XTRACKERS EURO STOXX 50 UCITS ;Xtrackers;Accumulating;XESC;FRA;FRA:DXET;;
ETF;LU0274208692;Globalny (DM);Akcje;DB XTRACKERS MSCI WORLD SWAP UCITS ;Xtrackers;Accumulating;XMWO;FRA;FRA:DBXW;;
ETF;IE00BD1F4M44;USA;Akcje - factor;ISHARES EDGE MSCI USA VALUE FACTOR UCITS ;iShares;Accumulating;QDVI;FRA;FRA:QDVI;;EUR
ETF;IE00B52MJY50;Azja;Akcje;ISHARES CORE MSCI PACIFIC EXJAPAN UCITS ETF;iShares;Accumulating;SXR1;FRA;FRA:SXR1;;EUR
ETF;IE00B52MJY50;Azja;Akcje;ISHARES CORE MSCI PACIFIC EXJAPAN UCITS ETF;iShares;Accumulating;CPXJ;LON;LON:CPXJ;;USD
ETF;IE00B3WJKG14;USA;Akcje - technologia;ISHARES S&P500 IT SECTOR UCITS ;iShares;Accumulating;QDVE;FRA;FRA:QDVE;;EUR
